,Timestamp of Tweet,Tweet Text,Twitter Handle,Is Republican
13,2020-09-12 15:00:13,"NEARLY 50 DAYS TILL THE ELECTION!
 
Help lead us to victory! Join your neighbors for our National Weekend of Action, going on now!

Sign up &amp; join us in your community!
https://t.co/hvJ6CO4nOq https://t.co/hrWwrZrW0w",GOP,1
14,2020-09-12 13:30:03,"“The RNC says it has knocked on the doors of 12 million potential voters in battleground states since mid-June — that’s around 1 million a week — while the Biden campaign has knocked on zero.”
https://t.co/4iHhRTLusr",GOP,1
15,2020-09-12 13:19:20,RT @rww_gop: “Senate Democrats are now on record as voting against aid to businesses and money for the unemployed because their real priori…,GOP,1
16,2020-09-12 12:00:08,"Joe Biden’s support of NAFTA killed 700,000 American jobs and gutted 60,000 American factories.
 
Now, when confronted over his support of the disastrous NAFTA trade deal, Biden admits President Trump’s USMCA trade deal “is better than NAFTA.”
https://t.co/I3bJzSyjCe",GOP,1
17,2020-09-12 11:30:01,RT @Perduesenate: I’m proud to have helped pass the largest military pay raise in a decade. #GAsen #GApol https://t.co/4eYhesW91d,GOP,1
18,2020-09-12 11:18:00,RT @MarthaMcSally: I am fighting for all Arizonans. That’s why I have been crisscrossing the state talking to voters about the issues affec…,GOP,1
19,2020-09-12 00:30:03,"God Bless America.

#NeverForget https://t.co/yKouKpsPES",GOP,1
20,2020-09-11 23:00:12,"“The events of 19 years ago remain of seminal importance — and the sacrifices and heroism deserve honoring.”
https://t.co/l7D2bFHujz",GOP,1
21,2020-09-11 21:45:21,"“Everywhere they go, the men and women of the Armed Forces instill our friends with hope, our enemies with dread, and our fellow citizens with unyielding American pride.” -@realDonaldTrump https://t.co/fbqb86zT2t",GOP,1
22,2020-09-11 20:53:02,"Following the attacks of 9/11/2001, Sergeant Major Thomas Payne answered the call to serve his country.
 
Today, Sergeant Major Payne was awarded the prestigious Medal of Honor for his heroism and bravery in the face of danger. https://t.co/w2nAqOCndz",GOP,1
23,2020-09-11 18:30:56,"Today marks ANOTHER historic breakthrough for peace in the Middle East. 
https://t.co/DoA6RDy85i",GOP,1
24,2020-09-11 18:30:45,RT @realDonaldTrump: Another HISTORIC breakthrough today! Our two GREAT friends Israel and the Kingdom of Bahrain agree to a Peace Deal – t…,GOP,1
25,2020-09-11 18:00:50,“God bless the heroes of Flight 93. God bless all of the families… We will never forget.” -@realDonaldTrump https://t.co/2p2AvCaMBm,GOP,1
26,2020-09-11 17:30:36,"“The only thing that stood between the enemy and a deadly strike at the heart of American democracy was the courage and resolve of 40 men and women, the amazing passengers, and crew of Flight 93.” -@realDonaldTrump https://t.co/PEL1zruclC",GOP,1
27,2020-09-11 16:46:42,"“Today we pay tribute to their sacrifice and we mourn deeply for the nearly 3,000 precious and beautiful souls who were taken from us on September 11, 2001.” -@realDonaldTrump https://t.co/eCqF4JjgLt",GOP,1
28,2020-09-11 15:05:42,“America will never relent in pursuing terrorists that threaten our people.” -@realDonaldTrump,GOP,1
29,2020-09-11 14:41:47,"“The heroes of Flight 93 are an everlasting reminder that no matter the danger, no matter the threat, no matter the odds, America will always rise up, stand tall, and fight back.” -@realDonaldTrump",GOP,1
30,2020-09-11 13:52:42,“America is at its best when our citizens — regardless of background or belief — put their differences aside and band together in times of unprecedented trial.” -@GOPChairwoman https://t.co/fXcM8UD3wZ,GOP,1
31,2020-09-11 13:00:23,🇺🇸🇺🇸🇺🇸 https://t.co/e0ylODtK3y,GOP,1
32,2020-09-11 11:00:13,"On this solemn day, we vow to never forget the lives lost 19 years ago, the acts of heroism and selflessness in the face of danger, and the patriotism that brought our nation together during some of our darkest days. 
 
#NeverForget https://t.co/n7winAGLvy",GOP,1
33,2020-09-11 03:00:04,"‼️Election Day is SO close‼️

JOIN us for our Weekend of ACTION from September 12–13!

Sign up today!
https://t.co/ERTbKTkZjt https://t.co/La0oyixJIU",GOP,1
34,2020-09-11 01:16:28,"If Democrats talk this poorly about the American people in public, imagine what they say behind closed doors.
 
We can't trust them to make decisions about the fate of our lives &amp; country.
 
Americans deserve better. https://t.co/XDdmLP1Ksj",GOP,1
35,2020-09-11 00:20:04,"“Michigan will decide whether we quickly return to record prosperity or whether we’ll allow Sleepy Joe to impose $4 trillion in tax hikes, ban American energy, confiscate your guns.” -@realDonaldTrump https://t.co/o7GoTB2kUT",GOP,1
36,2020-09-11 00:10:01,“I’m running for re-election to keep jobs in Michigan.” -@realDonaldTrump https://t.co/n2aylE5lB0,GOP,1
37,2020-09-10 23:46:02,"“Before the end of the year, we will have a safe and effective vaccine.” -@realDonaldTrump
https://t.co/FgfeSwEw4j",GOP,1
38,2020-09-10 23:25:28,"“If Biden wins, China wins.” -@realDonaldTrump",GOP,1
39,2020-09-10 23:22:46,"“54 days from now, we’re going to win Michigan and we’re going to win four more years in the White House.” -@realDonaldTrump",GOP,1
40,2020-09-10 23:12:20,TUNE IN NOW! https://t.co/YIfL7Sefkf,GOP,1
41,2020-09-10 23:06:42,"The Great American Comeback is underway in MICHIGAN!

*128,000 MI #SmallBiz received a total of $16 billion in #PPP loans

*540,000 MI jobs recovered since April

*15% drop in MI unemployment rate since April — an unprecedented number",GOP,1
42,2020-09-10 23:05:46,"RT @NRSC: NEW NRSC VIDEO: Democrats put politics over people on COVID relief. 

If they win, you lose. https://t.co/N3KxRvZDUE",GOP,1
43,2020-09-10 23:01:48,"RT @GOPChairwoman: .@realDonaldTrump blocked travel from China and Europe.
 
He created the Coronavirus Task Force.
 
He mobilized the priv…",GOP,1
44,2020-09-10 22:30:05,"Exercise your right to VOTE!
 
Make sure you're registered to vote on November 3rd!
https://t.co/r4SeVzEaIf",GOP,1
45,2020-09-10 21:31:35,"The Trump Administration's response to the COVID-19 pandemic has been both proactive &amp; responsive and has ALWAYS put Americans' safety FIRST.
 
Check out the timeline ⬇️ https://t.co/HpmHowSgSl",GOP,1
46,2020-09-10 21:05:49,"“We’re witnessing the fastest labor market recovery from an economic crisis in our history. By contrast, the Obama-Biden administration had the slowest, weakest, and worst recovery in American history.” -@realDonaldTrump",GOP,1
47,2020-09-10 20:57:22,“We want schools to safely open and stay open.” -@realDonaldTrump https://t.co/hZusu2okia,GOP,1
48,2020-09-10 20:38:03,"“As we continue to follow the science-based approach to protect our people and vanquish the virus, Joe Biden continues to use the pandemic for political gain.” -@realDonaldTrump https://t.co/Gtk1Sgwswr",GOP,1
49,2020-09-10 17:58:53,"🚨 🚨 🚨
JUST NOW: 
 
EVERY Senate Democrat just voted to BLOCK a coronavirus relief bill. 
https://t.co/0xbdCn28ix",GOP,1
50,2020-09-10 17:15:03,"""Trump Victory, the joint operation between the RNC and the Trump campaign, has an army of 2,000 paid field staffers in 17 states and more than 2 million volunteers making phone calls and knocking on doors.”
https://t.co/22Hpy9Wxuz",GOP,1
51,2020-09-10 16:45:18,"RT @rww_gop: “Since 2016, Republicans have netted nearly seven times as many registered voters here than Democrats.
 
The GOP has added alm…",GOP,1
52,2020-09-10 15:39:21,"Another HUGE endorsement for @realDonaldTrump!
 
The Chicago Police Union knows that President Trump will always stand for Law and Order!
https://t.co/Bbf89KP4vn",GOP,1
53,2020-09-10 14:20:38,"RT @GOPChairwoman: “Since 2016, Republicans have netted nearly seven times as many registered voters in Pennsylvania than Democrats.”

Whil…",GOP,1
54,2020-09-10 14:19:18,"President @realDonaldTrump’s remaking of the judiciary has been record breaking:

⚖️POTUS nominated &amp; the Senate has confirmed a grand total of 205 Article III judges.

⚖️For the first time in at least 40 YEARS, not a single Circuit Court vacancy exists anywhere in the nation.",GOP,1
55,2020-09-10 13:44:49,"RT @EricTrump: To register to vote, request an absentee, early vote or mail in ballot, simply go to https://t.co/zt3c5Nkwh6! We have made i…",GOP,1
56,2020-09-10 13:15:01,"“Joe Biden's pledge to block oil and gas drilling on federal lands and waters would force the United States to rely more on foreign energy sources, cost nearly 1 million jobs by 2022, and cause carbon emissions to increase by prompting a rebound in coal.”
https://t.co/EnHIQiErDe",GOP,1
57,2020-09-10 11:45:02,"“By the end of my first term, we will have confirmed a record number of federal judges - over 300, all of whom will faithfully uphold our Constitution as written.” -@realDonaldTrump",GOP,1
58,2020-09-10 02:44:31,"“Outside of war and peace, the most important thing a President does is select Supreme Court Justices, and judges.” -@realDonaldTrump https://t.co/diNhCEpU9D",GOP,1
59,2020-09-10 00:22:20,“President @realDonaldTrump's foreign policy will always be one of peace through strength.” -@PressSec https://t.co/1ZzjT9jkoi,GOP,1
60,2020-09-09 22:16:01,"President @realDonaldTrump is a champion for America’s energy independence and American workers.
 
Joe Biden is actively campaigning on an agenda that would hurt American workers.
https://t.co/ysaTrsMzs9",GOP,1
61,2020-09-09 21:44:36,"RT @RNCResearch: Dr. Anthony Fauci disputes quote attributed to him in the Woodward book: “I don’t recall that at all”
https://t.co/Oe7EOHB…",GOP,1
62,2020-09-09 21:00:28,"“The outcome of these decisions will determine whether we hold fast to our nation's founding principles or whether they are lost forever. That is why today, I am announcing 20 additions to my original list of candidates for the United States Supreme Court.” -@realDonaldTrump https://t.co/xe9NJQrRNf",GOP,1
63,2020-09-09 20:35:58,“The nomination of a Supreme Court Justice is the most important decision an American president can make.” -@realDonaldTrump https://t.co/rvslo4KaEe,GOP,1
64,2020-09-09 20:16:00,"“Joe Biden has refused to release his list [of potential Supreme Court Justices], perhaps because he knows the names are so extremely far-left that they could never withstand public scrutiny.” -@realDonaldTrump",GOP,1
65,2020-09-09 19:51:21,"Here’s the TRUTH:

@realDonaldTrump listened to public health experts, including Dr. Fauci, &amp; addressed the coronavirus pandemic head on since January. 
 
Now, we are closer than ever to a coronavirus vaccine because of his leadership.
https://t.co/kjzlxrsVDM",GOP,1
66,2020-09-09 19:13:08,"RT @GOPChairwoman: Joe Biden is the last person the public should trust.

When POTUS banned travel from China (which Dr. Fauci later praise…",GOP,1
67,2020-09-09 18:30:04,"Make your voice heard on November 3rd!
 
Make sure you're registered to VOTE!
https://t.co/W5YAvyB4mo",GOP,1
68,2020-09-09 18:24:18,"RT @RNCLatinos: ""The Trump Campaign has been very present in the Latino communities ... Latinos for Trump has been active for the past year…",GOP,1
69,2020-09-09 17:00:17,"Today, Joe Biden will be on defense in Michigan responding to his record of bad trade deals that have shipped millions of jobs to China.
 
Biden’s support of NAFTA resulted in 700,000 lost jobs AND hollowed out the U.S. manufacturing sector.",GOP,1
70,2020-09-09 15:30:05,"A well-deserved nomination. 
 
Congratulations, President @realDonaldTrump! 
https://t.co/4uBQgzncR3",GOP,1
71,2020-09-09 15:16:23,"RT @SteveGuest: Joe Biden is completely beholden to the teleprompter, so much so, he regularly requests assistance or he’ll read the “end o…",GOP,1
72,2020-09-09 15:14:59,"RT @TrumpWarRoom: The last time Joe Biden was in Michigan, he yelled at an autoworker.

""You're full of sh*t,"" Biden said angrily. ""I don't…",GOP,1
73,2020-09-09 14:30:08,"“To have Kosovo and Serbia normalize economic relations is a big deal in itself. But both countries agreed to take steps to support the momentum for peace in the Middle East generated by the peace treaty between the United Arab Emirates and Israel.”
https://t.co/EUH48ROwJY",GOP,1
74,2020-09-09 14:23:50,"RT @GOPChairwoman: From Israel-UAE to Serbia-Kosovo, @realDonaldTrump has accomplished more for peace in the last month than President Obam…",GOP,1
75,2020-09-09 13:00:23,"🗳️We’re almost 50 DAYS out from the election🗳️
 
To celebrate, we're hosting a Weekend of ACTION!
 
Join us in your community from September 12–13 to kick off the last 50 Days until Election Day.
 
Sign up NOW!

https://t.co/9CdNRuACY3 https://t.co/8jvcw0AMYI",GOP,1
76,2020-09-09 11:30:03,"“On November 3rd, America faces a very simple choice … Vote for the candidate backed by violent left-wing rioters … or … vote for the candidate backed by the selfless heroes of law enforcement.” -@realDonaldTrump",GOP,1
77,2020-09-09 01:45:42,"This election will decide the fate of our country!
 
Be sure you're registered to VOTE!
https://t.co/W5YAvyB4mo",GOP,1
78,2020-09-09 00:55:39,"RT @RNCLatinos: “Clearly, President ⁦@realDonaldTrump⁩ is having some impact in the Latino community in a way that has not been seen in man…",GOP,1
79,2020-09-09 00:10:53,"“Instead of standing up to the far-left rioters, Biden condemns law enforcement and condemns America.” -@realDonaldTrump",GOP,1
80,2020-09-09 00:03:49,"“I’m running for re-election… to ensure that the future belongs to America, not to China and other countries.” -@realDonaldTrump https://t.co/JuKLszdegK",GOP,1
81,2020-09-08 23:58:33,"“My heart is with the hard working patriots of all backgrounds who build up our communities, not the violent criminals and extremists and agitators and anarchists who burn them down.” -@realDonaldTrump
https://t.co/0M0ULdaFgh",GOP,1
82,2020-09-08 23:34:53,"“Joe Biden and his party spent the entire summer cheering on the rioters rampaging through Democrat-run cities, falsely labeling them as peaceful protestors.” -@realDonaldTrump
https://t.co/qzRzFs0Hfr",GOP,1
83,2020-09-08 23:25:46,“They’re coming after me because I’m fighting for YOU.” -@realDonaldTrump,GOP,1
84,2020-09-08 23:21:34,“Joe Biden has spent 47 years shipping North Carolina jobs to China.” -@realDonaldTrump,GOP,1
85,2020-09-08 22:59:29,"The Great American Comeback is underway in NORTH CAROLINA!
 
*5 million economic impact payments were delivered to NC workers &amp; families
 
*NC’s unemployment rate dropped by 4.4 percentage points over the past 3 months
 
*290,000 jobs added in NC since April",GOP,1
86,2020-09-08 22:56:56,TUNE IN NOW! https://t.co/F9SYGD0CaB,GOP,1
87,2020-09-08 22:32:08,“I’m committed to ensuring that the United States has the cleanest air and cleanest water on Earth.” -@realDonaldTrump https://t.co/xvgTFdklnh,GOP,1
88,2020-09-08 21:21:49,"“Since my Inauguration, we have recovered more endangered or threatened species than any other administration has accomplished in its first term.” -@realDonaldTrump https://t.co/CHNQbKUZNd",GOP,1
89,2020-09-08 21:10:03,"“As President, I will defend our environment, I will defend our workers, and our cherished way of life.” -@realDonaldTrump",GOP,1
90,2020-09-08 19:33:44,"“We’re showing that we can create jobs, safeguard the environment, and keep energy prices low for America.” -@realDonaldTrump https://t.co/ZXKhUBYqP3",GOP,1
91,2020-09-08 19:05:54,"The Great American Comeback is underway in FLORIDA!

*430,000 #SmallBiz in FL received #PPP loans

*$8.3 billion received in FL from the Coronavirus Relief Fund

*570,000 jobs created in FL since April",GOP,1
92,2020-09-08 18:29:53,"“The pathetic record of Obama-Biden stands very clear, and those are simple facts.” -@PressSec https://t.co/oDjv5Y09LT",GOP,1
93,2020-09-08 18:18:39,"RT @HW_Floyd: If you can’t handle tough questions, how will you handle tough decisions? #BlackVoicesforTrump #woke https://t.co/zjuoSHCbB2",GOP,1
94,2020-09-08 17:00:21,"ICYMI: This weekend, Kamala Harris called for reimagining police— further proof that Joe Biden is onboard with a radical defund the police agenda.
https://t.co/TVrOdvczZv",GOP,1
95,2020-09-08 16:48:16,RT @GOPChairwoman: More evidence The Atlantic story was complete nonsense. https://t.co/kt3YtM4AYd,GOP,1
96,2020-09-08 15:59:12,RT @Justin_Riemer: This is completely unprofessional for someone who is supposed to be calling balls and strikes in administering her state…,GOP,1
97,2020-09-08 15:54:54,RT @RNCLatinos: Biden is clearly struggling in FL with the Latino vote. #Trump2020 https://t.co/mOSIo0qmhX,GOP,1
98,2020-09-08 14:00:20,"Now we know why Joe Biden has made a career of being soft on China…
https://t.co/HnXxwdpvbb",GOP,1
99,2020-09-08 12:30:04,"“To sum up: Liberals push to relax rules protecting ballot integrity on the pretext of protecting society’s vulnerable from Covid-19. Then they target the elderly to harvest ballots. House Democrats want to mandate this nationwide.”
https://t.co/lB9ZlsOldV",GOP,1
100,2020-09-08 10:45:28,"For years, we’ve heard the chant “Death to America” from foreign enemies. 
 
Now, we’re hearing it from the far-Left— and Joe Biden’s Democrats are letting them. https://t.co/UcyVuPDM7i",GOP,1
101,2020-09-08 10:40:00,RT @RosiePaulsen: 57 Days the family at Casa Cuba last Saturday &amp; today they stopped by the office to get their daughters registered for th…,GOP,1
102,2020-09-08 10:35:00,"RT @TrumpVNCFL: ➡️ Introducing Alan Hakki, one of the newest interns on our team! 

➡️ Alan is a junior at UF studying Political Science an…",GOP,1
103,2020-09-08 10:30:03,"RT @jp0693: Nothing like knocking door for @realDonaldTrump and our great @MNGOP candidates on this nice, cool summer night! #LeadRight htt…",GOP,1
104,2020-09-08 01:45:01,"Pres. Trump is fighting for YOU! 

Here are his priorities for a 2nd term:
*Fully Fund &amp; Hire More Law Enforcement Officers
*Increase Criminal Penalties for Assaults on Law Enforcement Officers
*Prosecute Drive-By Shootings as Acts of Domestic Terrorism",GOP,1
105,2020-09-08 00:20:00,"Get ready to VOTE!
 
Are you registered? Do it here⬇️
https://t.co/W5YAvyB4mo",GOP,1
106,2020-09-08 00:05:07,TUNE IN NOW! https://t.co/sDIrGtzFFi,GOP,1
107,2020-09-07 23:42:47,"RT @GOPChairwoman: Another heinous attack on police and @realDonaldTrump supporters. 

We will not be silenced and we are going to make our…",GOP,1
108,2020-09-07 23:05:01,".@realDonaldTrump is fighting for the American Worker!
 
For years, American jobs fell victim to the outdated and unbalanced NAFTA agreement. 
 
President Trump's USMCA puts America first by protecting American workers, American manufacturing, &amp; American agriculture. #LaborDay",GOP,1
109,2020-09-07 21:30:02,"We need YOU! 🇺🇸

Volunteer to help the Trump Victory Team on Election Day HERE⬇️
https://t.co/Tk3OrVO9iF",GOP,1
110,2020-09-07 20:14:06,"“[Biden] spent 47 years sending American jobs to China, Mexico, and other countries while collecting millions of dollars in campaign and Super PAC contributions from global corporations that got rich making American workers poor.” -@realDonaldTrump https://t.co/Nv92zmkg6o",GOP,1
111,2020-09-07 19:35:01,".@realDonaldTrump is fighting for the American Worker!

In 2018, POTUS established the Nat’l Council for the American Worker.

Since then, 430 companies have signed the Pledge to America’s Workers, contributing to over 16M new training opportunities over the next 5 yrs. #LaborDay",GOP,1
112,2020-09-07 18:46:39,"“Under my leadership, we’ll produce a vaccine in record time.” -@realDonaldTrump",GOP,1
113,2020-09-07 18:38:31,"“[Joe Biden] wants to surrender our country to the virus, he wants to surrender our families to the violent left-wing mob, and he wants to surrender our jobs to China.” -@realDonaldTrump",GOP,1
114,2020-09-07 18:35:47,"“We’ll continue our historic regulatory reduction campaign… We’ll enact fair trade deals… We’re going to be expanding Opportunity Zones.” -@realDonaldTrump
https://t.co/6hDiluG7xZ",GOP,1
115,2020-09-07 17:00:20,"“All around, this is a win for almost everyone. The rebuilding of the economy is occurring even now, from behind the mask.”
https://t.co/S0JcEBwDZ1",GOP,1
116,2020-09-07 15:51:29,"“Thanks to President Trump’s empowerment of American workers and businesses, the most recent jobs report is further proof that the Great American Comeback is underway...and the best is yet to come.” -@GOPChairwoman
https://t.co/yhLYemIFXv",GOP,1
117,2020-09-07 14:35:01,"🇺🇸 🇺🇸 🇺🇸
https://t.co/vqQToP51Ld",GOP,1
118,2020-09-07 13:05:02,"“We are building our future with American hands, American labor, American iron, aluminum and steel.” -@realDonaldTrump 

#LaborDay",GOP,1
119,2020-09-07 11:20:02,"This Labor Day, we pay tribute to the force that drives our country forward: the American Worker.
 
Thank you to all the hardworking Americans that embody the American Dream! 

#LaborDay https://t.co/V73QENMe0M",GOP,1
120,2020-09-07 00:45:18,"Joe Biden, Democrats, &amp; the media have tried to paint destructive riots as ""peaceful protests.""
 
Meanwhile, President @realDonaldTrump is standing for LAW and ORDER! https://t.co/XBGvqbLfIC",GOP,1
121,2020-09-06 21:00:30,“We need four more years of the kind of policies that laid a foundation for this V-shaped recovery that is happening all across America.” -@Mike_Pence https://t.co/fV2rtxu5UE,GOP,1
122,2020-09-06 19:00:08,"“Friday’s blowout jobs report for August reveals a labor market and economy that continue to recover in encouraging fashion.”
https://t.co/cso7DNOpx4",GOP,1
123,2020-09-06 17:30:02,"HUGE news!
 
This week, President @realDonaldTrump earned the endorsement of the nation’s largest police union!
https://t.co/MqteDY3l1h",GOP,1
124,2020-09-06 16:00:16,"“President @realDonaldTrump’s actions have shown our troops more respect than any president in my lifetime.” -Joe Kent, Gold Star husband and retired Army officer 
https://t.co/pEgeEuX8CP",GOP,1
125,2020-09-06 14:30:22,The August jobs report is further proof the Great American Comeback is underway thanks to President Trump! https://t.co/Oom2qxYxfC,GOP,1
126,2020-09-06 13:00:14,"“Friday’s agreement between Kosovo and Serbia to take steps toward economic normalization &amp; an eventual peaceful coexistence demonstrates the achievements of President Trump &amp; his administration’s sound engagement throughout the world.” -@RichardGrenell
https://t.co/MzLQI61XAt",GOP,1
127,2020-09-06 11:35:03,"Pres. Trump is the only LAW &amp; ORDER presidential candidate.

Since violence has increased in Democrat-led cities, @realDonaldTrump has taken the lead to assist communities &amp; protect law enforcement, businesses, &amp; lives.

(Official White House photo by Shealah Craighead) https://t.co/WN2kGMvoPF",GOP,1
128,2020-09-06 01:00:06,".@realDonaldTrump always stands for LAW and ORDER!
https://t.co/SckF8uuvKC",GOP,1
129,2020-09-05 22:35:00,".@TeamTrump is on the road!
 
This week’s bus tour included a stop at the San Antonio #LatinosForTrump office!
https://t.co/Dt7QYAXAT6",GOP,1
130,2020-09-05 21:00:13,"📚Pres. Trump is fighting to send kids back to school📚

Lengthy time away from school harms a child’s ability to advance academically AND prevents educators from ensuring the wellbeing &amp; safety of students.

School closures also make it difficult for millions of parents to work.",GOP,1
131,2020-09-05 19:32:01,"“But the modern Biden has been pushed left by his party's insurgent progressives.”
https://t.co/QucwaN7HwA",GOP,1
132,2020-09-05 18:46:35,"RT @karavespia: “There is an old Chinese saying: When you make the rules, you must follow the rules. A person who does this is known as a r…",GOP,1
133,2020-09-05 18:00:16,"President @realDonaldTrump earns the endorsement of Boilermakers 154— a true testament to this Administration’s dedication to the American worker!
https://t.co/F4WGl99Jly",GOP,1
134,2020-09-05 16:30:01,"“If the American people want a president who has prioritized their interests by focusing on national security and advancing American interests abroad, President Trump is the right choice.” -@SenTedCruz
https://t.co/kyElf1AKJw",GOP,1
135,2020-09-05 15:00:17,Register to vote at https://t.co/lQYB8jZfOp! https://t.co/26fRHrH3Ho,GOP,1
136,2020-09-05 13:30:15,“We’re going to stand with law enforcement and urge every American to let law enforcement do their job.” -@Mike_Pence https://t.co/NCmm4z2tp9,GOP,1
137,2020-09-05 12:00:13,"AUGUST JOBS REPORT:
 
*4th largest jobs gain in American history
 
*2.5 times better than any one month under Obama and Biden",GOP,1
138,2020-09-05 11:30:02,"RT @joniernst: Kicked off the week with 99 County Tour stops in:

📍Kossuth County 
📍Wright County 
📍Hancock County 
📍Winnebago County 
📍Wor…",GOP,1
139,2020-09-05 02:00:03,"“A fracking ban that at times has been backed by former Vice President Joe Biden would batter the U.S. economy just as it emerges from its sharpest economic slowdown of the post-World War II era, according to a new study.”
https://t.co/fmGydGSdgn",GOP,1
140,2020-09-05 00:30:02,"Make sure you're ready to vote!
 
Register here 👇
 
https://t.co/W5YAvyB4mo",GOP,1
141,2020-09-04 23:01:42,"“Thanks to America’s medical genius, the mortality rate has been reduced by 85%.” -@realDonaldTrump
https://t.co/NVbQbbkVFy",GOP,1
142,2020-09-04 22:36:52,"RT @TeamPerdue: Make no mistake about it: 

You won't be safe in Jon @Ossoff's America. #GAsen #GApol

https://t.co/IdC368V7Jp https://t.co…",GOP,1
143,2020-09-04 22:09:41,"“It’s time for the Democrats in Congress to start working across the aisle, and put the American people first. ”-@realDonaldTrump",GOP,1
144,2020-09-04 22:04:50,"“We’re witnessing the fastest labor market recovery from any economic crisis in history, by far.” -@realDonaldTrump https://t.co/66AIMZT77e",GOP,1
145,2020-09-04 22:01:36,"“Biden’s plan is not a solution, it’s a virtual surrender.” -@realDonaldTrump https://t.co/ahUCEqHqvw",GOP,1
146,2020-09-04 21:00:12,"With 1.4 MILLION jobs added back, beating expectations, under President Trump, the U.S. has now added back more than 10 million jobs in the last 4 months.
https://t.co/mMxXBQtlAQ",GOP,1
147,2020-09-04 19:25:01,"🚨SLEEPY JOE FACT CHECK🚨
 
“[Biden’s] ad refers to ‘Trump’s planned cuts.’ But there are no planned cuts.”
https://t.co/6oZ77uj3Nv",GOP,1
148,2020-09-04 18:57:27,"“Today again is another historic step forward… It’s another victory for this Administration and really, for the world.” -@jaredkushner
https://t.co/s6qyZ7C0SS",GOP,1
149,2020-09-04 17:30:24,"Jobs ➡️ GAINED
 
Expectations ➡️ SMASHED
 
Unemployment ➡️ DOWN
 
Wages ➡️ UP
 
The Great American Comeback ➡️ UNDERWAY https://t.co/7ZG6v0QDwY",GOP,1
150,2020-09-04 16:50:08,"“A truly historic day.” -@realDonaldTrump
https://t.co/X4xBrORMXD",GOP,1
151,2020-09-04 16:50:01,RT @realDonaldTrump: Another day everyone thought would be impossible! Congratulations to @predsednikrs Vucic of Serbia and PM @Avdullah Ho…,GOP,1
152,2020-09-04 16:46:27,"RT @SBAJovita: This morning, Earl Hunter and I discussed the importance of small businesses developing strong relationships with each other…",GOP,1
153,2020-09-04 16:46:00,RT @The_RGA: It's simple: Democrat politicians shouldn't get to play by their own set of rules after imposing lockdowns on the rest of us.…,GOP,1
154,2020-09-04 16:05:42,"HUGE endorsement for @realDonaldTrump!
 
President Trump will ALWAYS back our brave law enforcement! 
https://t.co/xaYzduPwuU",GOP,1
155,2020-09-04 16:05:26,"RT @KellyannePolls: THREAD from @WhiteHouseCEA detailing breadth of the economic recovery &amp; Great American Comeback, ahead of schedule &amp; sh…",GOP,1
156,2020-09-04 16:04:59,RT @JuddPDeere45: #BREAKING | President @realDonaldTrump has announced that Serbia and Kosovo have agreed to economic normalization. Anothe…,GOP,1
157,2020-09-04 16:04:15,"RT @GOPChairwoman: .@realDonaldTrump recognizes that most Americans can’t hunker down like Joe Biden and never leave the basement.

We are…",GOP,1
